Freq.	-V(Vr)/V(Vf)
Step Information: Cl=400p  (Step: 1/15)
2.00000000000000e+01	(7.78263416380285e+01dB,-8.96207088898503e+01°)
2.51785082358833e+01	(7.58264123780932e+01dB,-8.96993536362840e+01°)
3.16978638492223e+01	(7.38264570085477e+01dB,-8.97619891117055e+01°)
3.99052462993776e+01	(7.18264851622033e+01dB,-8.98119502630456e+01°)
5.02377286301916e+01	(6.98265029157517e+01dB,-8.98518973925571e+01°)
6.32455532033676e+01	(6.78265141012008e+01dB,-8.98839576747256e+01°)
7.96214341106995e+01	(6.58265211328900e+01dB,-8.99098383584265e+01°)
1.00237446725454e+02	(6.38265255285937e+01dB,-8.99309176452597e+01°)
1.26191468896039e+02	(6.18265282371210e+01dB,-8.99483180643661e+01°)
1.58865646944856e+02	(5.98265298431078e+01dB,-8.99629662416526e+01°)
2.00000000000000e+02	(5.78265306932048e+01dB,-8.99756422408052e+01°)
2.51785082358834e+02	(5.58265309709039e+01dB,-8.99870211021599e+01°)
3.16978638492223e+02	(5.38265307361958e+01dB,-8.99977087895619e+01°)
3.99052462993776e+02	(5.18265299383139e+01dB,-9.00082744591163e+01°)
5.02377286301916e+02	(4.98265284051289e+01dB,-9.00192807678359e+01°)
6.32455532033676e+02	(4.78265258056930e+01dB,-9.00313138353900e+01°)
7.96214341106995e+02	(4.58265215787646e+01dB,-9.00450144539693e+01°)
1.00237446725455e+03	(4.38265148121992e+01dB,-9.00611122065768e+01°)
1.26191468896039e+03	(4.18265040453356e+01dB,-9.00804643076395e+01°)
1.58865646944856e+03	(3.98264869542612e+01dB,-9.01041012281453e+01°)
2.00000000000000e+03	(3.78264598499564e+01dB,-9.01332815228782e+01°)
2.51785082358834e+03	(3.58264168824153e+01dB,-9.01695587550494e+01°)
3.16978638492223e+03	(3.38263487781247e+01dB,-9.02148640336637e+01°)
3.99052462993776e+03	(3.18262408395708e+01dB,-9.02716084620625e+01°)
5.02377286301917e+03	(2.98260697748212e+01dB,-9.03428107597892e+01°)
6.32455532033677e+03	(2.78257986766400e+01dB,-9.04322564682516e+01°)
7.96214341106996e+03	(2.58253690711082e+01dB,-9.05446964489836e+01°)
1.00237446725455e+04	(2.38246883355262e+01dB,-9.06860937122982e+01°)
1.26191468896039e+04	(2.18236098034876e+01dB,-9.08639286685094e+01°)
1.58865646944857e+04	(1.98219013523497e+01dB,-9.10875729881711e+01°)
