Freq.	-V(Vr)/V(Vf)
Step Information: Cl=400p  (Step: 1/15)
2.00000000000000e+01	(9.77486086219392e+01dB,-8.96193651981508e+01°)
2.51785082358833e+01	(9.57486793665187e+01dB,-8.96976623025430e+01°)
3.16978638492223e+01	(9.37487240039182e+01dB,-8.97598600662966e+01°)
3.99052462993776e+01	(9.17487521684436e+01dB,-8.98092701269333e+01°)
5.02377286301916e+01	(8.97487699391452e+01dB,-8.98485234392124e+01°)
6.32455532033676e+01	(8.77487811517210e+01dB,-8.98797102286410e+01°)
7.96214341106995e+01	(8.57487882263733e+01dB,-8.99044912278497e+01°)
1.00237446725454e+02	(8.37487926901479e+01dB,-8.99241860756130e+01°)
1.26191468896039e+02	(8.17487955065467e+01dB,-8.99398435757308e+01°)
1.58865646944856e+02	(7.97487972834871e+01dB,-8.99522975360844e+01°)
2.00000000000000e+02	(7.77487984045224e+01dB,-8.99622111716189e+01°)
2.51785082358834e+02	(7.57487991116291e+01dB,-8.99701124165613e+01°)
3.16978638492223e+02	(7.37487995574352e+01dB,-8.99764220400595e+01°)
3.99052462993776e+02	(7.17487998381710e+01dB,-8.99814760517437e+01°)
5.02377286301916e+02	(6.97488000144299e+01dB,-8.99855435959184e+01°)
6.32455532033676e+02	(6.77488001242605e+01dB,-8.99888412840799e+01°)
7.96214341106995e+02	(6.57488001913661e+01dB,-8.99915447300366e+01°)
1.00237446725455e+03	(6.37488002302301e+01dB,-8.99937979019608e+01°)
1.26191468896039e+03	(6.17488002492498e+01dB,-8.99957207896599e+01°)
1.58865646944856e+03	(5.97488002525230e+01dB,-8.99974157937231e+01°)
2.00000000000000e+03	(5.77488002407582e+01dB,-8.99989731793125e+01°)
2.51785082358834e+03	(5.57488002114181e+01dB,-9.00004758828228e+01°)
3.16978638492223e+03	(5.37488001581669e+01dB,-9.00020039285259e+01°)
3.99052462993776e+03	(5.17488000695124e+01dB,-9.00036386901528e+01°)
5.02377286301917e+03	(4.97487999263184e+01dB,-9.00054672241227e+01°)
6.32455532033677e+03	(4.77487996976760e+01dB,-9.00075869053721e+01°)
7.96214341106996e+03	(4.57487993342360e+01dB,-9.00101106123195e+01°)
1.00237446725455e+04	(4.37487987575537e+01dB,-9.00131727369237e+01°)
1.26191468896039e+04	(4.17487978431644e+01dB,-9.00169363392080e+01°)
1.58865646944857e+04	(3.97487963937271e+01dB,-9.00216018262077e+01°)
2.00000000000000e+04	(3.77487940964584e+01dB,-9.00274176151967e+01°)
2.51785082358834e+04	(3.57487904556863e+01dB,-9.00346933444861e+01°)
3.16978638492223e+04	(3.37487846860379e+01dB,-9.00438163262464e+01°)
3.99052462993777e+04	(3.17487755433595e+01dB,-9.00552720994504e+01°)
5.02377286301917e+04	(2.97487610572861e+01dB,-9.00696701413709e+01°)
6.32455532033677e+04	(2.77487381087361e+01dB,-9.00877760352358e+01°)
7.96214341106996e+04	(2.57487017636819e+01dB,-9.01105516648206e+01°)
1.00237446725455e+05	(2.37486442257310e+01dB,-9.01392052949595e+01°)
1.26191468896039e+05	(2.17485531972377e+01dB,-9.01752536505729e+01°)
1.58865646944857e+05	(1.97484093344234e+01dB,-9.02205982168193e+01°)
2.00000000000000e+05	(1.77481823438684e+01dB,-9.02776177330333e+01°)
2.51785082358834e+05	(1.57478251128272e+01dB,-9.03492778525520e+01°)
3.16978638492223e+05	(1.37472651697044e+01dB,-9.04392565774851e+01°)
3.99052462993777e+05	(1.17463929364228e+01dB,-9.05520796531322e+01°)
5.02377286301917e+05	(9.74504712738033e+00dB,-9.06932536334258e+01°)
6.32455532033677e+05	(7.74300005193217e+00dB,-9.08693790140497e+01°)
7.96214341106997e+05	(5.73995018597139e+00dB,-9.10882331732601e+01°)
1.00237446725455e+06	(3.73553482405335e+00dB,-9.13588565240516e+01°)
1.26191468896039e+06	(1.72937451902619e+00dB,-9.16917732412722e+01°)
1.58865646944857e+06	(-2.78859850638821e-01dB,-9.20995689906096e+01°)
2.00000000000001e+06	(-2.28940380226715e+00dB,-9.25979199971766e+01°)
2.51785082358834e+06	(-4.30242136988441e+00dB,-9.32066868399706e+01°)
3.16978638492224e+06	(-6.31801483162189e+00dB,-9.39503861020600e+01°)
3.99052462993777e+06	(-8.33598470689342e+00dB,-9.48582325346006e+01°)
5.02377286301918e+06	(-1.03551300420938e+01dB,-9.59659009522864e+01°)
6.32455532033678e+06	(-1.23721868730501e+01dB,-9.73224726166365e+01°)
7.96214341106997e+06	(-1.43808489921454e+01dB,-9.90050166456489e+01°)
1.00237446725455e+07	(-1.63711670217092e+01dB,-1.01140673239109e+02°)
1.26191468896039e+07	(-1.83286313605631e+01dB,-1.03937419711750e+02°)
1.58865646944857e+07	(-2.02309471489958e+01dB,-1.07736848567074e+02°)
2.00000000000001e+07	(-2.20395511558273e+01dB,-1.13128243012668e+02°)
2.51785082358834e+07	(-2.36820915556461e+01dB,-1.21213990570918e+02°)
3.16978638492224e+07	(-2.50282845538542e+01dB,-1.34229513553312e+02°)
3.99052462993777e+07	(-2.59477135779693e+01dB,-1.56772444109984e+02°)
5.02377286301918e+07	(-2.69612311360927e+01dB,1.65262015601050e+02°)
6.32455532033678e+07	(-2.94527906733792e+01dB,1.22825373749613e+02°)
7.96214341106997e+07	(-3.18100019275952e+01dB,9.85335503119763e+01°)
1.00000000000000e+08	(-3.23871039760343e+01dB,9.00696006635617e+01°)
Step Information: Cl=600p  (Step: 2/15)
2.00000000000000e+01	(9.77486086219755e+01dB,-8.96192939231357e+01°)
2.51785082358833e+01	(9.57486793665764e+01dB,-8.96975725727140e+01°)
3.16978638492223e+01	(9.37487240040095e+01dB,-8.97597471034102e+01°)
3.99052462993776e+01	(9.17487521685877e+01dB,-8.98091279145011e+01°)
5.02377286301916e+01	(8.97487699393727e+01dB,-8.98483444038232e+01°)
6.32455532033676e+01	(8.77487811520807e+01dB,-8.98794848366456e+01°)
7.96214341106995e+01	(8.57487882269423e+01dB,-8.99042074757688e+01°)
1.00237446725454e+02	(8.37487926910477e+01dB,-8.99238288529181e+01°)
1.26191468896039e+02	(8.17487955079749e+01dB,-8.99393938590044e+01°)
1.58865646944856e+02	(7.97487972857514e+01dB,-8.99517313763327e+01°)
2.00000000000000e+02	(7.77487984081147e+01dB,-8.99614984186456e+01°)
2.51785082358834e+02	(7.57487991173218e+01dB,-8.99692151138467e+01°)
3.16978638492223e+02	(7.37487995664552e+01dB,-8.99752924027402e+01°)
3.99052462993776e+02	(7.17487998524662e+01dB,-8.99800539226174e+01°)
5.02377286301916e+02	(6.97488000370848e+01dB,-8.99837532415091e+01°)
6.32455532033676e+02	(6.77488001601674e+01dB,-8.99865873613642e+01°)
7.96214341106995e+02	(6.57488002482714e+01dB,-8.99887072094514e+01°)
1.00237446725455e+03	(6.37488003204251e+01dB,-8.99902256752966e+01°)
1.26191468896039e+03	(6.17488003921944e+01dB,-8.99912236227363e+01°)
1.58865646944856e+03	(5.97488004790773e+01dB,-8.99917541961372e+01°)
2.00000000000000e+03	(5.77488005998227e+01dB,-8.99918456505325e+01°)
2.51785082358834e+03	(5.57488007804964e+01dB,-8.99915028562751e+01°)
3.16978638492223e+03	(5.37488010600961e+01dB,-8.99907075585011e+01°)
3.99052462993776e+03	(5.17488014989726e+01dB,-8.99894174051184e+01°)
5.02377286301917e+03	(4.97488021918595e+01dB,-8.99875636914885e+01°)
6.32455532033677e+03	(4.77488032883152e+01dB,-8.99850477021166e+01°)
7.96214341106996e+03	(4.57488050250118e+01dB,-8.99817354544432e+01°)
1.00237446725455e+04	(4.37488077768166e+01dB,-8.99774505652267e+01°)
1.26191468896039e+04	(4.17488121377106e+01dB,-8.99719648605636e+01°)
1.58865646944857e+04	(3.97488190489997e+01dB,-8.99649862307385e+01°)
2.00000000000000e+04	(3.77488300025029e+01dB,-8.99561430862811e+01°)
2.51785082358834e+04	(3.57488473625746e+01dB,-8.99449645933252e+01°)
3.16978638492223e+04	(3.37488748764793e+01dB,-8.99308556475610e+01°)
3.99052462993777e+04	(3.17489184833213e+01dB,-8.99130652777609e+01°)
5.02377286301917e+04	(2.97489875961928e+01dB,-8.98906468434565e+01°)
6.32455532033677e+04	(2.77490971344765e+01dB,-8.98624080016306e+01°)
7.96214341106996e+04	(2.57492707453929e+01dB,-8.98268479669167e+01°)
1.00237446725455e+05	(2.37495459112090e+01dB,-8.97820791029114e+01°)
1.26191468896039e+05	(2.17499820470024e+01dB,-8.97257294298744e+01°)
1.58865646944857e+05	(1.97506733427261e+01dB,-8.96548223911430e+01°)
2.00000000000000e+05	(1.77517691345581e+01dB,-8.95656305862481e+01°)
2.51785082358834e+05	(1.57535062283207e+01dB,-8.94535020396269e+01°)
3.16978638492223e+05	(1.37562601923700e+01dB,-8.93126628875304e+01°)
3.99052462993777e+05	(1.17606266949327e+01dB,-8.91360134577575e+01°)
5.02377286301917e+05	(9.76755011080781e+00dB,-8.89149651016698e+01°)
6.32455532033677e+05	(7.77852515684532e+00dB,-8.86394331304219e+01°)
7.96214341106997e+05	(5.79590646732440e+00dB,-8.82982465886761e+01°)
1.00237446725455e+06	(3.82336197663461e+00dB,-8.78805211631026e+01°)
1.26191468896039e+06	(1.86647315926209e+00dB,-8.73790155905538e+01°)
1.58865646944857e+06	(-6.66313290123461e-02dB,-8.67970349695482e+01°)
2.00000000000001e+06	(-1.96497319308215e+00dB,-8.61604823869452e+01°)
2.51785082358834e+06	(-3.81546835306873e+00dB,-8.55350212509639e+01°)
3.16978638492224e+06	(-5.60563147995541e+00dB,-8.50437201015820e+01°)
3.99052462993777e+06	(-7.32862947245604e+00dB,-8.48732515994103e+01°)
5.02377286301918e+06	(-8.98910984281939e+00dB,-8.52522973580577e+01°)
6.32455532033678e+06	(-1.06053630669210e+01dB,-8.63975696624334e+01°)
7.96214341106997e+06	(-1.22031036713403e+01dB,-8.84560156375459e+01°)
1.00237446725455e+07	(-1.38015362078777e+01dB,-9.14963261267118e+01°)
1.26191468896039e+07	(-1.53985772485340e+01dB,-9.55805753947954e+01°)
1.58865646944857e+07	(-1.69603549009737e+01dB,-1.00905198988279e+02°)
2.00000000000001e+07	(-1.84115180745405e+01dB,-1.08017780802049e+02°)
2.51785082358834e+07	(-1.96190835801808e+01dB,-1.18248890716175e+02°)
3.16978638492224e+07	(-2.03985620857188e+01dB,-1.34853286914162e+02°)
3.99052462993777e+07	(-2.09149232236499e+01dB,-1.65484141645704e+02°)
5.02377286301918e+07	(-2.34104592223075e+01dB,1.46534308528716e+02°)
6.32455532033678e+07	(-2.82161863027503e+01dB,1.09506394660683e+02°)
7.96214341106997e+07	(-3.14521582535829e+01dB,9.29160036047822e+01°)
1.00000000000000e+08	(-3.22974471986123e+01dB,8.79749165969974e+01°)
Step Information: Cl=1n  (Step: 3/15)
2.00000000000000e+01	(9.77486086220902e+01dB,-8.96191513721432e+01°)
2.51785082358833e+01	(9.57486793667543e+01dB,-8.96973931122901e+01°)
3.16978638492223e+01	(9.37487240042936e+01dB,-8.97595211764219e+01°)
3.99052462993776e+01	(9.17487521690382e+01dB,-8.98088434891489e+01°)
5.02377286301916e+01	(8.97487699400865e+01dB,-8.98479863330354e+01°)
6.32455532033676e+01	(8.77487811532161e+01dB,-8.98790340520362e+01°)
7.96214341106995e+01	(8.57487882287391e+01dB,-8.99036399715913e+01°)
1.00237446725454e+02	(8.37487926938959e+01dB,-8.99231144073160e+01°)
1.26191468896039e+02	(8.17487955124877e+01dB,-8.99384944253709e+01°)
1.58865646944856e+02	(7.97487972929034e+01dB,-8.99505990567889e+01°)
2.00000000000000e+02	(7.77487984194490e+01dB,-8.99600729126394e+01°)
2.51785082358834e+02	(7.57487991352868e+01dB,-8.99674205080964e+01°)
3.16978638492223e+02	(7.37487995949297e+01dB,-8.99730331280707e+01°)
3.99052462993776e+02	(7.17487998975961e+01dB,-8.99772096643921e+01°)
5.02377286301916e+02	(6.97488001086143e+01dB,-8.99801725325274e+01°)
6.32455532033676e+02	(6.77488002735305e+01dB,-8.99820795160350e+01°)
7.96214341106995e+02	(6.57488004279440e+01dB,-8.99830321684148e+01°)
1.00237446725455e+03	(6.37488006051841e+01dB,-8.99830812221511e+01°)
1.26191468896039e+03	(6.17488008435072e+01dB,-8.99822292894612e+01°)
1.58865646944856e+03	(5.97488011943596e+01dB,-8.99804310021432e+01°)
2.00000000000000e+03	(5.77488017334704e+01dB,-8.99775905952999e+01°)
2.51785082358834e+03	(5.57488025772042e+01dB,-8.99735568078641e+01°)
3.16978638492223e+03	(5.37488039076849e+01dB,-8.99681148278393e+01°)
3.99052462993776e+03	(5.17488060120961e+01dB,-8.99609748537466e+01°)
5.02377286301917e+03	(4.97488093446729e+01dB,-8.99517566635339e+01°)
6.32455532033677e+03	(4.77488146247493e+01dB,-8.99399693700796e+01°)
7.96214341106996e+03	(4.57488229920201e+01dB,-8.99249852872317e+01°)
1.00237446725455e+04	(4.37488362525323e+01dB,-8.99060065182201e+01°)
1.26191468896039e+04	(4.17488572684947e+01dB,-8.98820224946410e+01°)
1.58865646944857e+04	(3.97488905760106e+01dB,-8.98517562197102e+01°)
2.00000000000000e+04	(3.77489433640165e+01dB,-8.98135963826475e+01°)
2.51785082358834e+04	(3.57490270255522e+01dB,-8.97655117881390e+01°)
3.16978638492223e+04	(3.37491596157930e+01dB,-8.97049436618484e+01°)
3.99052462993777e+04	(3.17493697463428e+01dB,-8.96286703321811e+01°)
5.02377286301917e+04	(2.97497027537249e+01dB,-8.95326375511289e+01°)
6.32455532033677e+04	(2.77502304668568e+01dB,-8.94117463535590e+01°)
7.96214341106996e+04	(2.57510666650617e+01dB,-8.92595890216205e+01°)
1.00237446725455e+05	(2.37523915211735e+01dB,-8.90681228053054e+01°)
1.26191468896039e+05	(2.17544902002578e+01dB,-8.88272714072643e+01°)
1.58865646944857e+05	(1.97578136810380e+01dB,-8.85244476702746e+01°)
2.00000000000000e+05	(1.77630742664550e+01dB,-8.81440010752161e+01°)
2.51785082358834e+05	(1.57713947458476e+01dB,-8.76666178301457e+01°)
3.16978638492223e+05	(1.37845392916468e+01dB,-8.70687534959160e+01°)
3.99052462993777e+05	(1.18052657469690e+01dB,-8.63222841465090e+01°)
5.02377286301917e+05	(9.83785038964140e+00dB,-8.53947669007186e+01°)
6.32455532033677e+05	(7.88883825223752e+00dB,-8.42510726998738e+01°)
7.96214341106997e+05	(5.96803975529170e+00dB,-8.28577676241284e+01°)
1.00237446725455e+06	(4.08967312258050e+00dB,-8.11924540570882e+01°)
1.26191468896039e+06	(2.27325072006682e+00dB,-7.92609194640617e+01°)
1.58865646944857e+06	(5.43255512979126e-01dB,-7.71239625930750e+01°)
2.00000000000001e+06	(-1.07396473529973e+00dB,-7.49304517964388e+01°)
2.51785082358834e+06	(-2.55751621053746e+00dB,-7.29417103369033e+01°)
3.16978638492224e+06	(-3.90271334947959e+00dB,-7.15206242736964e+01°)
3.99052462993777e+06	(-5.13029869839125e+00dB,-7.10644597502774e+01°)
5.02377286301918e+06	(-6.28658454396436e+00dB,-7.18954119356626e+01°)
6.32455532033678e+06	(-7.43042084930461e+00dB,-7.41656078010572e+01°)
7.96214341106997e+06	(-8.61096142672178e+00dB,-7.78407015290489e+01°)
1.00237446725455e+07	(-9.84575897488340e+00dB,-8.27871003798123e+01°)
1.26191468896039e+07	(-1.11063648939534e+01dB,-8.89397308664819e+01°)
1.58865646944857e+07	(-1.23094037702581e+01dB,-9.65293496432056e+01°)
2.00000000000001e+07	(-1.33026748217928e+01dB,-1.06465937509008e+02°)
2.51785082358834e+07	(-1.38523392998874e+01dB,-1.21377798918842e+02°)
3.16978638492224e+07	(-1.39101419837078e+01dB,-1.48921117330030e+02°)
3.99052462993777e+07	(-1.59606729670421e+01dB,1.60572867097356e+02°)
5.02377286301918e+07	(-2.23633294805751e+01dB,1.17472425920249e+02°)
6.32455532033678e+07	(-2.81742610589246e+01dB,9.63937879120174e+01°)
7.96214341106997e+07	(-3.14680007940157e+01dB,8.77985456387383e+01°)
1.00000000000000e+08	(-3.23201200593981e+01dB,8.61200915079954e+01°)
Step Information: Cl=2n  (Step: 4/15)
2.00000000000000e+01	(9.77486086226154e+01dB,-8.96187949960790e+01°)
2.51785082358833e+01	(9.57486793675877e+01dB,-8.96969444600611e+01°)
3.16978638492223e+01	(9.37487240056135e+01dB,-8.97589563564975e+01°)
3.99052462993776e+01	(9.17487521711322e+01dB,-8.98081324240435e+01°)
5.02377286301916e+01	(8.97487699434025e+01dB,-8.98470911556290e+01°)
6.32455532033676e+01	(8.77487811584736e+01dB,-8.98779070910479e+01°)
7.96214341106995e+01	(8.57487882370716e+01dB,-8.99022212115356e+01°)
1.00237446725454e+02	(8.37487927071041e+01dB,-8.99213282946203e+01°)
1.26191468896039e+02	(8.17487955334198e+01dB,-8.99362458419506e+01°)
1.58865646944856e+02	(7.97487973260805e+01dB,-8.99477682578034e+01°)
2.00000000000000e+02	(7.77487984720290e+01dB,-8.99565091479253e+01°)
2.51785082358834e+02	(7.57487992186197e+01dB,-8.99629339941653e+01°)
3.16978638492223e+02	(7.37487997270070e+01dB,-8.99673849416976e+01°)
3.99052462993776e+02	(7.17488001069182e+01dB,-8.99700990191564e+01°)
5.02377286301916e+02	(6.97488004403669e+01dB,-8.99712207607101e+01°)
6.32455532033676e+02	(6.77488007993264e+01dB,-8.99708099033189e+01°)
7.96214341106995e+02	(6.57488012612749e+01dB,-8.99688445674981e+01°)
1.00237446725455e+03	(6.37488019259254e+01dB,-8.99652200923200e+01°)
1.26191468896039e+03	(6.17488029367436e+01dB,-8.99597434624500e+01°)
1.58865646944856e+03	(5.97488045119120e+01dB,-8.99521230294459e+01°)
2.00000000000000e+03	(5.77488069914355e+01dB,-8.99419529817500e+01°)
2.51785082358834e+03	(5.57488109105132e+01dB,-8.99286917357397e+01°)
3.16978638492223e+03	(5.37488171150777e+01dB,-8.99116330987119e+01°)
3.99052462993776e+03	(5.17488269443717e+01dB,-8.98898686699780e+01°)
5.02377286301917e+03	(4.97488425200165e+01dB,-8.98622394820250e+01°)
6.32455532033677e+03	(4.77488672039301e+01dB,-8.98272743148797e+01°)
7.96214341106996e+03	(4.57489063239143e+01dB,-8.97831114153508e+01°)
1.00237446725455e+04	(4.37489683234497e+01dB,-8.97273994856121e+01°)
1.26191468896039e+04	(4.17490665836907e+01dB,-8.96571727348973e+01°)
1.58865646944857e+04	(3.97492223104493e+01dB,-8.95686934727162e+01°)
2.00000000000000e+04	(3.77494691081018e+01dB,-8.94572541252891e+01°)
2.51785082358834e+04	(3.57498602246267e+01dB,-8.93169286585690e+01°)
3.16978638492223e+04	(3.37504800239019e+01dB,-8.91402612202397e+01°)
3.99052462993777e+04	(3.17514621422021e+01dB,-8.89178775119366e+01°)
5.02377286301917e+04	(2.97530181994186e+01dB,-8.86380023608321e+01°)
6.32455532033677e+04	(2.77554831405966e+01dB,-8.82858660804216e+01°)
7.96214341106996e+04	(2.57593866900562e+01dB,-8.78429844367406e+01°)
1.00237446725455e+05	(2.37655655802400e+01dB,-8.72863063650894e+01°)
1.26191468896039e+05	(2.17753388842219e+01dB,-8.65872479594102e+01°)
1.58865646944857e+05	(1.97907796006485e+01dB,-8.57106859497797e+01°)
2.00000000000000e+05	(1.78151295692698e+01dB,-8.46140969512142e+01°)
