CL,fgc_MHz,fpc_MHz,GM_dB,PM_deg,Status
400p,0.148977571512429,19.0630174073714,78.0833242915551,80.4425408386962,Stable
600p,0.149009969109156,NaN,NaN,80.9790234901267,Stable
1n,0.149112414030172,NaN,NaN,82.0499996826048,Stable
2n,0.149589916998573,NaN,NaN,84.7171114893321,Stable
5n,0.15300920013604,45.7352849418159,23.7138206691325,92.6570453594276,Stable
10n,0.166991956604527,34.5061226802346,20.7272528302089,105.931331254776,Stable
20n,0.275203197913764,26.1407304564215,17.0749061673803,132.130624161983,Stable
50n,4.94413478136635,19.2320286667686,12.9649523263782,110.994056301647,Stable
100n,7.88745869244845,16.2337435727654,10.6520427432108,55.4115397004421,Stable
200n,8.06433413437712,14.4851634643815,9.17231491235169,36.7622414751665,Marginally Stable
500n,7.94253805809958,13.3100919649533,8.06538326153588,27.4268604137684,Marginally Stable
1µ,7.866651173396,12.8972876315458,7.65267260986495,24.5832464606736,Marginally Stable
2µ,7.82347425126536,12.687489358869,7.43833148633903,23.2008936276034,Marginally Stable
5µ,7.79593403294443,12.5583066476997,7.31024077753211,22.3848848569262,Marginally Stable
10µ,7.786476414287,12.5147306754554,7.26904243487549,22.1170247598928,Marginally Stable
