time	I(CL)+I(RL)
0.000000000000000e+00	-4.872244e-03
9.999999960041972e-13	-2.046132e-03
1.037430080839136e-12	-1.589670e-03
1.112290250509013e-12	-7.354561e-04
1.262010589848768e-12	-6.027500e-04
1.489254592688431e-12	-6.186365e-04
1.794664325619598e-12	-6.101899e-04
2.405483791481933e-12	-6.137951e-04
3.456213496683119e-12	-6.099154e-04
5.452604943684791e-12	-6.085777e-04
9.377131568642933e-12	-6.071469e-04
1.663196346795689e-11	-6.184205e-04
3.095295000057188e-11	-6.754593e-04
5.167633370041752e-11	-8.140041e-04
7.168473216511900e-11	-9.992574e-04
1.025557239353754e-10	-1.345075e-03
1.482186553319908e-10	-1.893375e-03
1.950719871065734e-10	-2.437803e-03
2.535441287637383e-10	-3.034639e-03
3.163772947680644e-10	-3.549628e-03
3.267442771588759e-10	-3.650227e-03
3.293360227565787e-10	-3.674845e-03
3.345195139519845e-10	-3.708914e-03
3.448864963427960e-10	-3.773945e-03
3.656204611244189e-10	-3.892343e-03
4.070883906876648e-10	-4.089055e-03
4.900242498141566e-10	-4.378766e-03
5.952969780425244e-10	-4.617981e-03
6.944366831312219e-10	-4.747214e-03
7.967741606722484e-10	-4.818606e-03
9.062359277132148e-10	-4.859299e-03
1.027574628242280e-09	-4.882832e-03
1.171332266775401e-09	-4.897325e-03
1.349520252346182e-09	-4.907305e-03
1.585122166138465e-09	-4.916163e-03
1.918168625186984e-09	-4.926941e-03
2.447366138564131e-09	-4.944145e-03
3.449199293595819e-09	-4.978419e-03
5.452865603659196e-09	-5.050067e-03
9.460198223785949e-09	-5.196522e-03
1.454774330622919e-08	-5.383787e-03
2.070565989232136e-08	-5.611763e-03
3.302149306450572e-08	-6.073081e-03
5.765315940887442e-08	-7.013455e-03
8.910654354596619e-08	-8.241628e-03
1.237674766317223e-07	-9.609072e-03
1.729692013648497e-07	-1.147016e-02
2.321392711479309e-07	-1.335171e-02
2.962162353016372e-07	-1.454161e-02
3.716634489306300e-07	-8.250272e-03
4.026376647608937e-07	4.107011e-03
4.212484594418408e-07	1.442743e-02
4.322322126494500e-07	1.793909e-02
4.432080561857222e-07	1.918001e-02
4.499864177920428e-07	1.965831e-02
4.506704924212139e-07	1.971857e-02
4.520386416795562e-07	1.984920e-02
4.544814629945231e-07	2.004617e-02
4.570708429377783e-07	2.025582e-02
4.601194667210397e-07	2.050495e-02
4.607833056474453e-07	2.056024e-02
4.621109835002565e-07	2.067290e-02
4.647663392058789e-07	2.089880e-02
4.700770506171238e-07	2.135692e-02
4.714047284699350e-07	2.147323e-02
4.740600841755574e-07	2.170992e-02
4.793707955868023e-07	2.219442e-02
4.899922184092919e-07	2.320615e-02
5.112350640542713e-07	2.526103e-02
5.285482596073592e-07	2.664190e-02
5.506598409445168e-07	2.777052e-02
5.691604606575124e-07	2.845921e-02
5.886069129213097e-07	2.917441e-02
6.274998174489044e-07	3.061253e-02
6.953097785656677e-07	3.309547e-02
7.785045612815894e-07	3.611796e-02
