time	I(CL)+I(RL)
0.000000000000000e+00	-4.872244e-03
9.999999960041972e-13	-7.760651e-04
1.132678657225170e-12	-4.003775e-04
1.398035979667116e-12	-1.950081e-04
1.928750624551007e-12	-1.968261e-04
2.754425090804166e-12	-2.016132e-04
4.158366068182104e-12	-2.093853e-04
6.966248022937979e-12	-2.270989e-04
1.219991953631318e-11	-2.649521e-04
2.247425701736786e-11	-3.551319e-04
4.072666170162508e-11	-5.474479e-04
5.980617116334154e-11	-7.689342e-04
6.237434864215652e-11	-8.033692e-04
6.751070359978648e-11	-8.765896e-04
7.778341351504641e-11	-1.016936e-03
9.771795247097318e-11	-1.293490e-03
1.019041142646325e-10	-1.351978e-03
1.102764378519511e-10	-1.468773e-03
1.270210850265884e-10	-1.697453e-03
1.605103793758629e-10	-2.130404e-03
2.053574454740390e-10	-2.650824e-03
2.591530248139005e-10	-3.170683e-03
3.286745764481207e-10	-3.683644e-03
4.149974904647425e-10	-4.116561e-03
5.441747987468283e-10	-4.518614e-03
6.283257359967211e-10	-4.671781e-03
7.181088750495585e-10	-4.760297e-03
8.289483189813134e-10	-4.823976e-03
9.465300807010540e-10	-4.861515e-03
1.083939789124080e-09	-4.884529e-03
1.241465994966799e-09	-4.898443e-03
1.446701815030893e-09	-4.908696e-03
1.712570357819214e-09	-4.917963e-03
2.104873395743086e-09	-4.930057e-03
2.718402139917897e-09	-4.949313e-03
3.945459628267519e-09	-4.989845e-03
6.399574604966762e-09	-5.073649e-03
6.711835946782604e-09	-5.084459e-03
7.336358630414288e-09	-5.106177e-03
8.585403997677654e-09	-5.149559e-03
1.108349473220439e-08	-5.236234e-03
1.607967620125786e-08	-5.409323e-03
2.607203913936480e-08	-5.754894e-03
4.605676501557866e-08	-6.445152e-03
7.708463807618144e-08	-7.514331e-03
1.084483642082209e-07	-8.578904e-03
1.505256635773600e-07	-9.923946e-03
2.025460998112390e-07	-1.130576e-02
2.644019504223256e-07	-1.228547e-02
3.275551401465751e-07	-9.532267e-03
3.552777570337835e-07	-1.930402e-03
3.759509632390212e-07	8.962517e-03
3.869856982476107e-07	1.438041e-02
3.985856400566122e-07	1.740657e-02
4.108997581007563e-07	1.865823e-02
4.249230504956420e-07	1.955603e-02
4.380184553197868e-07	2.046124e-02
4.642092649680762e-07	2.245257e-02
5.089440955346103e-07	2.577061e-02
5.310273492326921e-07	2.684856e-02
5.565159496829069e-07	2.756460e-02
5.823023557395196e-07	2.826791e-02
6.338751678527449e-07	2.966568e-02
6.985778197788387e-07	3.136869e-02
7.811158069745635e-07	3.347447e-02
8.811158069745635e-07	3.593018e-02
9.811158069745635e-07	3.828736e-02
1.081115806974564e-06	4.054564e-02
1.181115806974563e-06	4.271020e-02
1.281115806974563e-06	4.478534e-02
1.381115806974563e-06	4.677570e-02
1.481115806974563e-06	4.868513e-02
1.581115806974563e-06	5.051782e-02
1.681115806974563e-06	5.227727e-02
