Freq.	-V(Vr)/V(Vf)
Step Information: Cl=400p  (Step: 1/15)
2.00000000000000e+01	(1.11728009282798e+02dB,-8.96208667214449e+01°)
2.51785082358833e+01	(1.09728080020258e+02dB,-8.96995490913749e+01°)
3.16978638492223e+01	(1.07728124649006e+02dB,-8.97622325740358e+01°)
3.99052462993776e+01	(1.05728152801591e+02dB,-8.98122547106212e+01°)
5.02377286301916e+01	(1.03728170554456e+02dB,-8.98522790376267e+01°)
6.32455532033676e+01	(1.01728181739376e+02dB,-8.98844368375752e+01°)
7.96214341106995e+01	(9.97281887706565e+01dB,-8.99104405541466e+01°)
1.00237446725454e+02	(9.77281931659692e+01dB,-8.99316749503237e+01°)
1.26191468896039e+02	(9.57281958739939e+01dB,-8.99492708032101e+01°)
1.58865646944856e+02	(9.37281974792793e+01dB,-8.99641651525389e+01°)
2.00000000000000e+02	(9.17281983283801e+01dB,-8.99771511715712e+01°)
2.51785082358834e+02	(8.97281986045423e+01dB,-8.99889204054187e+01°)
3.16978638492223e+02	(8.77281983673079e+01dB,-9.00000996124586e+01°)
3.99052462993776e+02	(8.57281975656075e+01dB,-9.00112841210657e+01°)
5.02377286301916e+02	(8.37281960262477e+01dB,-9.00230695447121e+01°)
6.32455532033676e+02	(8.17281934170805e+01dB,-9.00360834931343e+01°)
7.96214341106995e+02	(7.97281891748063e+01dB,-9.00510189938212e+01°)
1.00237446725455e+03	(7.77281823838478e+01dB,-9.00686713928039e+01°)
1.26191468896039e+03	(7.57281715783150e+01dB,-9.00899806941717e+01°)
1.58865646944856e+03	(7.37281544259184e+01dB,-9.01160815970599e+01°)
2.00000000000000e+03	(7.17281272245254e+01dB,-9.01483638724290e+01°)
2.51785082358834e+03	(6.97280841031149e+01dB,-9.01885462748482e+01°)
3.16978638492223e+03	(6.77280157549038e+01dB,-9.02387678773867e+01°)
3.99052462993776e+03	(6.57279074297118e+01dB,-9.03017015948408e+01°)
5.02377286301917e+03	(6.37277357522448e+01dB,-9.03806957471135e+01°)
6.32455532033677e+03	(6.17274636828940e+01dB,-9.04799508167003e+01°)
7.96214341106996e+03	(5.97270325382766e+01dB,-9.06047400423714e+01°)
1.00237446725455e+04	(5.77263493634711e+01dB,-9.07616840625629e+01°)
1.26191468896039e+04	(5.57252669654178e+01dB,-9.09590911808399e+01°)
1.58865646944857e+04	(5.37235523870743e+01dB,-9.12073753004563e+01°)
2.00000000000000e+04	(5.17208372398160e+01dB,-9.15195617332645e+01°)
2.51785082358834e+04	(4.97165397285816e+01dB,-9.19118839795477e+01°)
3.16978638492223e+04	(4.77097429263481e+01dB,-9.24044563399012e+01°)
3.99052462993777e+04	(4.56990064589861e+01dB,-9.30219665801504e+01°)
5.02377286301917e+04	(4.36820794175050e+01dB,-9.37942490425267e+01°)
6.32455532033677e+04	(4.16554731219020e+01dB,-9.47564357925326e+01°)
7.96214341106996e+04	(3.96138507012309e+01dB,-9.59480874969229e+01°)
1.00237446725455e+05	(3.75492157221578e+01dB,-9.74102176032991e+01°)
1.26191468896039e+05	(3.54499765213368e+01dB,-9.91784511320006e+01°)
1.58865646944857e+05	(3.33001982745769e+01dB,-1.01269998116905e+02°)
2.00000000000000e+05	(3.10797989694907e+01dB,-1.03662704694043e+02°)
2.51785082358834e+05	(2.87670026494314e+01dB,-1.06268344258952e+02°)
3.16978638492223e+05	(2.63444421875492e+01dB,-1.08911680693646e+02°)
3.99052462993777e+05	(2.38087136862640e+01dB,-1.11338596550503e+02°)
5.02377286301917e+05	(2.11794095544010e+01dB,-1.13276099832804e+02°)
6.32455532033677e+05	(1.85004297132309e+01dB,-1.14537488021995e+02°)
7.96214341106997e+05	(1.58288975041438e+01dB,-1.15120271999474e+02°)
1.00237446725455e+06	(1.32157495091123e+01dB,-1.15231717884504e+02°)
