Freq.	-V(Vr)/V(Vf)
Step Information: Cl=400p  (Step: 1/15)
2.00000000000000e+01	(1.11728009300002e+02dB,-8.96195217793786e+01°)
2.51785082358833e+01	(1.09728080041733e+02dB,-8.96978558884661e+01°)
3.16978638492223e+01	(1.07728124677327e+02dB,-8.97601009740148e+01°)
3.99052462993776e+01	(1.05728152840682e+02dB,-8.98095711832458e+01°)
5.02377286301916e+01	(1.03728170610602e+02dB,-8.98489006698316e+01°)
6.32455532033676e+01	(1.01728181822625e+02dB,-8.98801837297825e+01°)
7.96214341106995e+01	(9.97281888968229e+01dB,-8.99050862159806e+01°)
1.00237446725454e+02	(9.77281933601470e+01dB,-8.99249342314849e+01°)
1.26191468896039e+02	(9.57281961760013e+01dB,-8.99407847415945e+01°)
1.58865646944856e+02	(9.37281979521906e+01dB,-8.99534818339922e+01°)
2.00000000000000e+02	(9.17281990720999e+01dB,-8.99637016694526e+01°)
2.51785082358834e+02	(8.97281997774697e+01dB,-8.99719884895409e+01°)
3.16978638492223e+02	(8.77282002205437e+01dB,-8.99787835957687e+01°)
3.99052462993776e+02	(8.57282004969669e+01dB,-8.99844488514002e+01°)
5.02377286301916e+02	(8.37282006664023e+01dB,-8.99892859515926e+01°)
6.32455532033676e+02	(8.17282007654248e+01dB,-8.99935524899348e+01°)
7.96214341106995e+02	(7.97282008154052e+01dB,-8.99974756749009e+01°)
1.00237446725455e+03	(7.77282008271374e+01dB,-9.00012644305861e+01°)
1.26191468896039e+03	(7.57282008031439e+01dB,-9.00051205214709e+01°)
1.58865646944856e+03	(7.37282007382552e+01dB,-9.00092492989205e+01°)
2.00000000000000e+03	(7.17282006184621e+01dB,-9.00138706351351e+01°)
2.51785082358834e+03	(6.97282004179072e+01dB,-9.00192306329122e+01°)
3.16978638492223e+03	(6.77282000933024e+01dB,-9.00256147315307e+01°)
3.99052462993776e+03	(6.57281995745778e+01dB,-9.00333629066990e+01°)
5.02377286301917e+03	(6.37281987497691e+01dB,-9.00428877759881e+01°)
6.32455532033677e+03	(6.17281974408416e+01dB,-9.00546965710227e+01°)
7.96214341106996e+03	(5.97281953652641e+01dB,-9.00694181484799e+01°)
1.00237446725455e+04	(5.77281920750300e+01dB,-9.00878364767231e+01°)
1.26191468896039e+04	(5.57281868599548e+01dB,-9.01109323801775e+01°)
1.58865646944857e+04	(5.37281785943972e+01dB,-9.01399357626167e+01°)
2.00000000000000e+04	(5.17281654943296e+01dB,-9.01763910855215e+01°)
2.51785082358834e+04	(4.97281447323310e+01dB,-9.02222395793208e+01°)
3.16978638492223e+04	(4.77281118275090e+01dB,-9.02799225473441e+01°)
3.99052462993777e+04	(4.57280596788355e+01dB,-9.03525112271712e+01°)
5.02377286301917e+04	(4.37279770337471e+01dB,-9.04438700522408e+01°)
6.32455532033677e+04	(4.17278460626845e+01dB,-9.05588618629493e+01°)
7.96214341106996e+04	(3.97276385191295e+01dB,-9.07036057068318e+01°)
1.00237446725455e+05	(3.77273096640134e+01dB,-9.08858003833893e+01°)
1.26191468896039e+05	(3.57267886623902e+01dB,-9.11151298270968e+01°)
1.58865646944857e+05	(3.37259634274877e+01dB,-9.14037696733589e+01°)
2.00000000000000e+05	(3.17246567594296e+01dB,-9.17670175821781e+01°)
2.51785082358834e+05	(2.97225889184186e+01dB,-9.22240723327282e+01°)
3.16978638492223e+05	(2.77193192555388e+01dB,-9.27989868033736e+01°)
3.99052462993777e+05	(2.57141559535665e+01dB,-9.35218149551717e+01°)
5.02377286301917e+05	(2.37060181507658e+01dB,-9.44299585559321e+01°)
6.32455532033677e+05	(2.16932287481843e+01dB,-9.55696902232503e+01°)
7.96214341106997e+05	(1.96732090434618e+01dB,-9.69977803759006e+01°)
1.00237446725455e+06	(1.76420367664168e+01dB,-9.87830801914225e+01°)
1.26191468896039e+06	(1.55938127485585e+01dB,-1.01007777169635e+02°)
1.58865646944857e+06	(1.35197557979490e+01dB,-1.03767707756421e+02°)
2.00000000000001e+06	(1.14069414227335e+01dB,-1.07170295490873e+02°)
2.51785082358834e+06	(9.23673422088960e+00dB,-1.11327287738124e+02°)
3.16978638492224e+06	(6.98339891179304e+00dB,-1.16338483301639e+02°)
3.99052462993777e+06	(4.61409678689479e+00dB,-1.22264493795327e+02°)
5.02377286301918e+06	(2.09206434938460e+00dB,-1.29093688166359e+02°)
6.32455532033678e+06	(-6.15633409728723e-01dB,-1.36720471467468e+02°)
7.96214341106997e+06	(-3.52662873190524e+00dB,-1.44961213381852e+02°)
1.00237446725455e+07	(-6.63203258528122e+00dB,-1.53625362988110e+02°)
1.26191468896039e+07	(-9.88943334073092e+00dB,-1.62630055104366e+02°)
1.58865646944857e+07	(-1.32178981489408e+01dB,-1.72125939232601e+02°)
