CL,fgc_MHz,fpc_MHz,ugbw_MHz,GM_dB,PM_deg,Status
400p,6.002,18.8839,6.002,15.669,45.014,Stable
600p,6.0176,18.3704,6.0176,14.961,44.691,Marginal
1n,6.0493,17.3987,6.0493,13.644,44.033,Marginal
2n,6.1301,15.4366,6.1301,11.042,42.31,Marginal
5n,6.3806,11.7038,6.3806,6.227,36.395,Marginal
10n,6.7632,8.9815,6.7632,2.803,23.472,Unstable
20n,6.6301,6.8319,6.6301,0.409,3.292,Unstable
50n,5.0989,4.9843,5.0989,-0.401,-1.848,Unstable
100n,3.9788,4.5502,3.9788,2.4,6.894,Unstable
200n,3.1675,5.876,3.1675,9.85,20.165,Marginal
500n,2.5853,7.867,2.5853,15.56,38.165,Marginal
1µ,2.4222,8.497,2.4222,16.987,47.896,Stable
2µ,2.3686,8.7957,2.3686,17.61,53.41,Stable
5µ,2.3508,8.9692,2.3508,17.955,56.783,Stable
10µ,2.3476,9.0256,2.3476,18.065,57.893,Stable
