CL,fgc_MHz,fpc_MHz,GM_dB,PM_deg,Status
400p,3.5227,30.1553,30.082,57.542,Stable
600p,3.523,29.4663,29.625,57.406,Stable
1n,3.5235,28.1106,28.74,57.135,Stable
2n,3.5243,25.0823,26.836,56.459,Stable
5n,3.5221,18.4588,22.283,54.451,Stable
10n,3.5031,13.9007,18.74,51.235,Stable
20n,3.4183,10.7363,16.479,45.628,Stable
50n,3.0375,10.6406,20.931,35.922,Marginally Stable
100n,2.5493,22.6284,35.259,31.407,Marginally Stable
200n,2.0629,25.2377,36.808,31.962,Marginally Stable
500n,1.6143,26.0352,37.092,40.101,Marginally Stable
1µ,1.4524,26.2827,37.173,48.937,Stable
2µ,1.3915,26.4029,37.211,56.092,Stable
5µ,1.3731,26.4731,37.233,61.262,Stable
10µ,1.371,26.4949,37.238,63.063,Stable
