time	V(vout)
0.000000000000000e+00	-7.671557e-04
9.999999960041972e-13	-8.770816e-04
1.059219607374332e-12	-8.898114e-04
1.074024510216866e-12	-8.939466e-04
1.103634315901933e-12	-9.009360e-04
1.111036767323200e-12	-9.025083e-04
1.125841670165734e-12	-9.053991e-04
1.155451475850801e-12	-9.110527e-04
1.214671087220936e-12	-9.221862e-04
1.333110309961205e-12	-9.443059e-04
1.569988755441744e-12	-9.883386e-04
2.043745646402823e-12	-1.075735e-03
2.991259428324978e-12	-1.248176e-03
4.762247877656176e-12	-1.562581e-03
8.036664198220197e-12	-2.116628e-03
1.458549683934824e-11	-3.124316e-03
2.768316212160433e-11	-4.818929e-03
4.873955602665626e-11	-6.890186e-03
7.235937229814439e-11	-8.420175e-03
1.000480779200084e-10	-9.505400e-03
1.041891492624393e-10	-9.596513e-03
1.124712919473011e-10	-9.678255e-03
1.290355773170246e-10	-9.693528e-03
1.621641480564718e-10	-9.343722e-03
2.128463516632193e-10	-8.306594e-03
2.672431747197494e-10	-6.916825e-03
3.402857021878033e-10	-5.099230e-03
4.170586704283950e-10	-3.592317e-03
5.262715095083409e-10	-2.021204e-03
5.357069215272323e-10	-1.922903e-03
5.545777455650152e-10	-1.779107e-03
5.923193936405810e-10	-1.546994e-03
6.678026897917125e-10	-1.223797e-03
7.605817120307052e-10	-9.899829e-04
8.594868038319709e-10	-8.706368e-04
9.590143660574839e-10	-8.233077e-04
1.078615973436312e-09	-8.037740e-04
1.097866245416462e-09	-8.028218e-04
1.136366789376761e-09	-8.028003e-04
1.213367877297358e-09	-8.036115e-04
1.367370053138554e-09	-8.062373e-04
1.405870597098852e-09	-8.069286e-04
1.482871685019450e-09	-8.081842e-04
1.636873860860645e-09	-8.103114e-04
1.944878212543036e-09	-8.139394e-04
2.560886915907817e-09	-8.206035e-04
3.792904322637380e-09	-8.335336e-04
4.100908674319771e-09	-8.366956e-04
4.716917377684552e-09	-8.428989e-04
5.948934784414114e-09	-8.551225e-04
8.412969597873240e-09	-8.793441e-04
1.243742608446421e-08	-9.190585e-04
1.670324077787923e-08	-9.614298e-04
