time	V(vout)
0.000000000000000e+00	-7.671557e-04
9.999999960041972e-13	-9.706896e-04
1.209369397345230e-12	-1.014102e-03
1.628108200027296e-12	-1.100254e-03
2.465585805391427e-12	-1.267907e-03
4.030015475838941e-12	-1.574586e-03
6.118639964649591e-12	-1.969325e-03
1.029588894227089e-11	-2.706593e-03
1.865038689751349e-11	-3.997766e-03
3.535938280799869e-11	-6.042633e-03
5.890836966729136e-11	-8.059711e-03
8.242866156610999e-11	-9.199393e-03
1.144689368686440e-10	-9.750437e-03
1.486048813005807e-10	-9.575934e-03
1.892751089729940e-10	-8.771236e-03
2.364268860726425e-10	-7.527672e-03
3.001708420108328e-10	-5.832684e-03
3.751415966869754e-10	-4.181930e-03
4.729120272883333e-10	-2.665710e-03
5.677699862385593e-10	-1.750568e-03
6.459552249498977e-10	-1.327837e-03
7.317490379371820e-10	-1.079689e-03
8.264536570228156e-10	-9.368762e-04
9.312864650284892e-10	-8.628496e-04
1.052199085138733e-09	-8.285569e-04
1.203623318077748e-09	-8.154279e-04
1.408535774049766e-09	-8.133543e-04
1.710205814357149e-09	-8.169112e-04
2.213913895419163e-09	-8.245502e-04
3.221330057543191e-09	-8.396491e-04
5.236162381791247e-09	-8.691581e-04
9.265827030287358e-09	-9.277098e-04
1.450879162675743e-08	-1.004800e-03
2.103710222565969e-08	-1.103220e-03
3.361736678458082e-08	-1.301219e-03
5.877789590242309e-08	-1.722821e-03
9.001705006002711e-08	-2.288967e-03
1.251348181377207e-07	-2.982653e-03
1.749364870229616e-07	-4.034632e-03
2.350691292151215e-07	-5.335768e-03
2.741220338927303e-07	-5.838322e-03
2.956162651153063e-07	-5.425960e-03
3.093226519616297e-07	-4.804611e-03
3.162140443973364e-07	-4.514927e-03
3.232355035120149e-07	-4.254540e-03
3.304567061843336e-07	-3.974169e-03
3.370983243882651e-07	-3.696862e-03
3.503815607961279e-07	-3.102780e-03
3.680373515257773e-07	-2.247030e-03
3.900517641769924e-07	-1.007924e-03
4.211228981720364e-07	8.332375e-04
4.486255885894004e-07	2.306601e-03
4.786819033144997e-07	3.834609e-03
5.144147566838217e-07	5.809547e-03
5.516331025212954e-07	8.061787e-03
5.769560544587750e-07	9.607322e-03
6.064731252802392e-07	1.133612e-02
6.313819902793010e-07	1.278908e-02
6.574999256673741e-07	1.435268e-02
7.097357964435202e-07	1.759796e-02
8.097357964435202e-07	2.411251e-02
9.097357964435202e-07	3.099721e-02
1.009735796443520e-06	3.828680e-02
1.109735796443520e-06	4.596324e-02
1.209735796443520e-06	5.400941e-02
1.309735796443520e-06	6.240886e-02
1.409735796443520e-06	7.114597e-02
1.509735796443520e-06	8.020572e-02
1.609735796443519e-06	8.957385e-02
1.709735796443519e-06	9.923662e-02
1.809735796443519e-06	1.091810e-01
1.909735796443519e-06	1.193945e-01
2.009735796443519e-06	1.298653e-01
2.109735796443519e-06	1.405817e-01
2.209735796443519e-06	1.515331e-01
2.309735796443519e-06	1.627089e-01
2.409735796443519e-06	1.740993e-01
2.509735796443518e-06	1.856946e-01
2.609735796443518e-06	1.974859e-01
2.709735796443518e-06	2.094644e-01
2.809735796443518e-06	2.216218e-01
2.909735796443518e-06	2.339501e-01
3.009735796443518e-06	2.464419e-01
3.109735796443518e-06	2.590898e-01
3.209735796443518e-06	2.718870e-01
3.309735796443518e-06	2.848268e-01
3.409735796443517e-06	2.979028e-01
3.509735796443517e-06	3.111091e-01
3.609735796443517e-06	3.244399e-01
3.709735796443517e-06	3.378896e-01
3.809735796443517e-06	3.514529e-01
3.909735796443517e-06	3.651249e-01
4.009735796443517e-06	3.789007e-01
4.109735796443517e-06	3.927757e-01
4.209735796443517e-06	4.067312e-01
4.243468561275923e-06	4.114560e-01
4.256252382842448e-06	4.132552e-01
4.262296180434895e-06	4.141041e-01
4.270659091933200e-06	4.152781e-01
4.287384914929811e-06	4.176358e-01
4.320836560923032e-06	4.223547e-01
4.387739852909474e-06	4.318132e-01
4.450838827001294e-06	4.407366e-01
4.494083858396211e-06	4.467574e-01
4.527199537184764e-06	4.507572e-01
4.551508325829213e-06	4.497812e-01
4.562884315809135e-06	4.485802e-01
