Freq.	-V(Vr)/V(Vf)
Step Information: L=100µ  (Step: 1/10)
2.00000000000000e+01	(1.37672284170200e+02dB,-9.10327863421494e+01°)
2.51785082358833e+01	(1.35670778494650e+02dB,-9.14768471823196e+01°)
3.16978638492223e+01	(1.33668325837837e+02dB,-9.19992958851126e+01°)
3.99052462993776e+01	(1.31664398993593e+02dB,-9.26276947085112e+01°)
5.02377286301916e+01	(1.29658155864264e+02dB,-9.33949922491778e+01°)
6.32455532033676e+01	(1.27648262672427e+02dB,-9.43410244138605e+01°)
7.96214341106995e+01	(1.25632618453757e+02dB,-9.55141373982563e+01°)
1.00237446725454e+02	(1.23607932275834e+02dB,-9.69727848752784e+01°)
1.26191468896039e+02	(1.21569088403140e+02dB,-9.87867462792600e+01°)
1.58865646944856e+02	(1.19508225508005e+02dB,-1.01037229310017e+02°)
2.00000000000000e+02	(1.17413476926073e+02dB,-1.03814484613225e+02°)
2.51785082358834e+02	(1.15267420408187e+02dB,-1.07210663114564e+02°)
3.16978638492223e+02	(1.13045552248711e+02dB,-1.11304827210182e+02°)
3.99052462993776e+02	(1.10715607648259e+02dB,-1.16137455765104e+02°)
5.02377286301916e+02	(1.08239177999851e+02dB,-1.21675817405232e+02°)
6.32455532033676e+02	(1.05577177629372e+02dB,-1.27781192485634e+02°)
7.96214341106995e+02	(1.02699143555372e+02dB,-1.34200096813085e+02°)
1.00237446725455e+03	(9.95929646620059e+01dB,-1.40599967600672e+02°)
1.26191468896039e+03	(9.62693440999082e+01dB,-1.46643775908734e+02°)
1.58865646944856e+03	(9.27578877917141e+01dB,-1.52066092846092e+02°)
2.00000000000000e+03	(8.90975738515697e+01dB,-1.56711755114300e+02°)
2.51785082358834e+03	(8.53273063161851e+01dB,-1.60529183589070e+02°)
3.16978638492223e+03	(8.14802052552943e+01dB,-1.63537805651254e+02°)
3.99052462993776e+03	(7.75818459979080e+01dB,-1.65792215222505e+02°)
5.02377286301917e+03	(7.36509514405606e+01dB,-1.67354854737011e+02°)
6.32455532033677e+03	(6.97010749816839e+01dB,-1.68279070535551e+02°)
7.96214341106996e+03	(6.57424443150079e+01dB,-1.68600063589782e+02°)
1.00237446725455e+04	(6.17836741250113e+01dB,-1.68330774975571e+02°)
1.26191468896039e+04	(5.78333529425300e+01dB,-1.67460741382772e+02°)
1.58865646944857e+04	(5.39016275999499e+01dB,-1.65957250723842e+02°)
2.00000000000000e+04	(5.00019104411501e+01dB,-1.63769429363783e+02°)
2.51785082358834e+04	(4.61527208267122e+01dB,-1.60837189331238e+02°)
3.16978638492223e+04	(4.23793824925484e+01dB,-1.57107982455285e+02°)
3.99052462993777e+04	(3.87147681304119e+01dB,-1.52563908135864e+02°)
5.02377286301917e+04	(3.51976456477711e+01dB,-1.47257563392919e+02°)
6.32455532033677e+04	(3.18671088973006e+01dB,-1.41345259436176e+02°)
7.96214341106996e+04	(2.87532132008383e+01dB,-1.35095217449994e+02°)
1.00237446725455e+05	(2.58673497625171e+01dB,-1.28850805260661e+02°)
1.26191468896039e+05	(2.31980632109073e+01dB,-1.22955602101682e+02°)
1.58865646944857e+05	(2.07152410165095e+01dB,-1.17678513092335e+02°)
2.00000000000000e+05	(1.83797362951863e+01dB,-1.13177121327194e+02°)
2.51785082358834e+05	(1.61527185548260e+01dB,-1.09506005098109e+02°)
3.16978638492223e+05	(1.40012226837339e+01dB,-1.06650053549683e+02°)
3.99052462993777e+05	(1.18997788439324e+01dB,-1.04560396157839e+02°)
5.02377286301917e+05	(9.82964045317411e+00dB,-1.03181572878370e+02°)
6.32455532033677e+05	(7.77705572727969e+00dB,-1.02468319995727e+02°)
7.96214341106997e+05	(5.73139495014634e+00dB,-1.02394498956586e+02°)
1.00237446725455e+06	(3.68342036440287e+00dB,-1.02957126882708e+02°)
1.26191468896039e+06	(1.62369429586011e+00dB,-1.04177531817944e+02°)
1.58865646944857e+06	(-4.59012065529613e-01dB,-1.06100430784048e+02°)
2.00000000000001e+06	(-2.57947677515021e+00dB,-1.08790284499857e+02°)
2.51785082358834e+06	(-4.75798235874638e+00dB,-1.12322535680176e+02°)
3.16978638492224e+06	(-7.02205579475280e+00dB,-1.16766221222839e+02°)
3.99052462993777e+06	(-9.40685786705515e+00dB,-1.22156345869136e+02°)
5.02377286301918e+06	(-1.19525057508213e+01dB,-1.28461773015026e+02°)
6.32455532033678e+06	(-1.46970368649773e+01dB,-1.35567000548863e+02°)
7.96214341106997e+06	(-1.76659852309868e+01dB,-1.43296615054419e+02°)
1.00237446725455e+07	(-2.08626042745520e+01dB,-1.51504898664261e+02°)
1.26191468896039e+07	(-2.42622834561950e+01dB,-1.60228014773132e+02°)
1.58865646944857e+07	(-2.78063443094665e+01dB,-1.69878692231252e+02°)
2.00000000000001e+07	(-3.13733052722270e+01dB,1.78549603511059e+02°)
2.51785082358834e+07	(-3.46845114640620e+01dB,1.63502093430943e+02°)
3.16978638492224e+07	(-3.71648851944687e+01dB,1.44138557708889e+02°)
3.99052462993777e+07	(-3.81898026877198e+01dB,1.23357866116450e+02°)
5.02377286301918e+07	(-3.78792343384880e+01dB,1.06553036927842e+02°)
6.32455532033678e+07	(-3.68945418024952e+01dB,9.59529478015352e+01°)
7.96214341106997e+07	(-3.55876910273840e+01dB,9.07917291242867e+01°)
1.00000000000000e+08	(-3.40022266085399e+01dB,8.89404720063169e+01°)
Step Information: L=200µ  (Step: 2/10)
2.00000000000000e+01	(1.37664205904266e+02dB,-9.24441374654258e+01°)
2.51785082358833e+01	(1.35657986851588e+02dB,-9.32521156836888e+01°)
3.16978638492223e+01	(1.33648081449931e+02dB,-9.42312066524827e+01°)
3.99052462993776e+01	(1.31632386416105e+02dB,-9.54315025908802e+01°)
5.02377286301916e+01	(1.29607600638819e+02dB,-9.69128768870097e+01°)
6.32455532033676e+01	(1.27568588821154e+02dB,-9.87462657843544e+01°)
7.96214341106995e+01	(1.25507458101834e+02dB,-1.01013808939941e+02°)
1.00237446725454e+02	(1.23412295261255e+02dB,-1.03806473551203e+02°)
1.26191468896039e+02	(1.21265614785779e+02dB,-1.07216883262082e+02°)
1.58865646944856e+02	(1.19042836485905e+02dB,-1.11324262422777e+02°)
2.00000000000000e+02	(1.16711620871237e+02dB,-1.16168852435551e+02°)
2.51785082358834e+02	(1.14233518245140e+02dB,-1.21717245555055e+02°)
3.16978638492223e+02	(1.11569478555732e+02dB,-1.27829736385591e+02°)
3.99052462993776e+02	(1.08689178673571e+02dB,-1.34251922801284e+02°)
5.02377286301916e+02	(1.05580727530863e+02dB,-1.40650878158336e+02°)
6.32455532033676e+02	(1.02255051022646e+02dB,-1.46690007043997e+02°)
7.96214341106995e+02	(9.87419011227189e+01dB,-1.52104898413523e+02°)
1.00237446725455e+03	(9.50802977365762e+01dB,-1.56741514887552e+02°)
1.26191468896039e+03	(9.13091079732942e+01dB,-1.60549128464277e+02°)
1.58865646944856e+03	(8.74613796016240e+01dB,-1.63547608082562e+02°)
2.00000000000000e+03	(8.35626133827190e+01dB,-1.65791623142628e+02°)
2.51785082358834e+03	(7.96314717349284e+01dB,-1.67343425855234e+02°)
3.16978638492223e+03	(7.56814664104022e+01dB,-1.68255992490742e+02°)
3.99052462993776e+03	(7.17228018878776e+01dB,-1.68564025789735e+02°)
5.02377286301917e+03	(6.77640866905722e+01dB,-1.68279863164246e+02°)
6.32455532033677e+03	(6.38139198470372e+01dB,-1.67392337993946e+02°)
7.96214341106996e+03	(5.98824764843800e+01dB,-1.65867936671411e+02°)
1.00237446725455e+04	(5.59832171704534e+01dB,-1.63654895514606e+02°)
1.26191468896039e+04	(5.21347305153309e+01dB,-1.60692177810157e+02°)
1.58865646944857e+04	(4.83624261724477e+01dB,-1.56926282285029e+02°)
2.00000000000000e+04	(4.46992626561979e+01dB,-1.52338406783932e+02°)
2.51785082358834e+04	(4.11840588330413e+01dB,-1.46980275768807e+02°)
3.16978638492223e+04	(3.78558788606236e+01dB,-1.41007119010189e+02°)
3.99052462993777e+04	(3.47446416635528e+01dB,-1.34685328960473e+02°)
5.02377286301917e+04	(3.18615288440961e+01dB,-1.28355015961601e+02°)
6.32455532033677e+04	(2.91948962137889e+01dB,-1.22354632045077e+02°)
7.96214341106996e+04	(2.67145610191387e+01dB,-1.16946098192246e+02°)
1.00237446725455e+05	(2.43814710587671e+01dB,-1.12278387398534e+02°)
1.26191468896039e+05	(2.21570546690120e+01dB,-1.08395892821271e+02°)
1.58865646944857e+05	(2.00087667547751e+01dB,-1.05271449432134e+02°)
2.00000000000000e+05	(1.79117517106396e+01dB,-1.02841709859753e+02°)
2.51785082358834e+05	(1.58481582640738e+01dB,-1.01033653867235e+02°)
3.16978638492223e+05	(1.38055609891453e+01dB,-9.97807317726332e+01°)
3.99052462993777e+05	(1.17753127627578e+01dB,-9.90312820103810e+01°)
5.02377286301917e+05	(9.75113520465397e+00dB,-9.87523283192400e+01°)
6.32455532033677e+05	(7.72797662933037e+00dB,-9.89310235852214e+01°)
7.96214341106997e+05	(5.70105528414867e+00dB,-9.95750597683782e+01°)
1.00237446725455e+06	(3.66497315484301e+00dB,-1.00712646656060e+02°)
1.26191468896039e+06	(1.61277668172787e+00dB,-1.02392144476289e+02°)
1.58865646944857e+06	(-4.65170974969326e-01dB,-1.04680901786715e+02°)
2.00000000000001e+06	(-2.58263403038254e+00dB,-1.07661945941002e+02°)
2.51785082358834e+06	(-4.75925242528297e+00dB,-1.11425765479873e+02°)
3.16978638492224e+06	(-7.02214791931215e+00dB,-1.16053497985304e+02°)
3.99052462993777e+06	(-9.40622791846809e+00dB,-1.21589834507214e+02°)
5.02377286301918e+06	(-1.19514541753839e+01dB,-1.28011369759994e+02°)
6.32455532033678e+06	(-1.46957734824541e+01dB,-1.35208763301558e+02°)
7.96214341106997e+06	(-1.76646747550224e+01dB,-1.43011513872089e+02°)
1.00237446725455e+07	(-2.08614023666395e+01dB,-1.51277838255151e+02°)
1.26191468896039e+07	(-2.42613704830935e+01dB,-1.60047112650142e+02°)
1.58865646944857e+07	(-2.78059590260020e+01dB,-1.69734865969340e+02°)
2.00000000000001e+07	(-3.13737563661626e+01dB,1.78662548122670e+02°)
2.51785082358834e+07	(-3.46860441633718e+01dB,1.63586727385090e+02°)
3.16978638492224e+07	(-3.71671637503929e+01dB,1.44194384260090e+02°)
3.99052462993777e+07	(-3.81916866426687e+01dB,1.23387958347856e+02°)
5.02377286301918e+07	(-3.78801129579178e+01dB,1.06566944304842e+02°)
6.32455532033678e+07	(-3.68947541759702e+01dB,9.59586959742278e+01°)
7.96214341106997e+07	(-3.55876873418132e+01dB,9.07937125952293e+01°)
1.00000000000000e+08	(-3.40022040984596e+01dB,8.89410410717518e+01°)
Step Information: L=500µ  (Step: 3/10)
2.00000000000000e+01	(1.37608077264317e+02dB,-9.66501419654225e+01°)
2.51785082358833e+01	(1.35569488976151e+02dB,-9.85223311772492e+01°)
3.16978638492223e+01	(1.33508959609264e+02dB,-1.00817187043178e+02°)
3.99052462993776e+01	(1.31414682566217e+02dB,-1.03627526435039e+02°)
5.02377286301916e+01	(1.29269309663035e+02dB,-1.07047631400861e+02°)
6.32455532033676e+01	(1.27048423041517e+02dB,-1.11158471984849e+02°)
7.96214341106995e+01	(1.24719840540145e+02dB,-1.16002417109657e+02°)
1.00237446725454e+02	(1.22245199760291e+02dB,-1.21548738157842e+02°)
1.26191468896039e+02	(1.19585379080080e+02dB,-1.27660763812121e+02°)
1.58865646944856e+02	(1.16709767862855e+02dB,-1.34086755817011e+02°)
2.00000000000000e+02	(1.13606020759081e+02dB,-1.40495115404174e+02°)
2.51785082358834e+02	(1.10284602699494e+02dB,-1.46548761028609e+02°)
3.16978638492223e+02	(1.06774962647266e+02dB,-1.51981439277692e+02°)
3.99052462993776e+02	(1.03116033268761e+02dB,-1.56636912338523e+02°)
5.02377286301916e+02	(9.93467578257778e+01dB,-1.60462695338569e+02°)
6.32455532033676e+02	(9.55003340459508e+01dB,-1.63477625849941e+02°)
7.96214341106995e+02	(9.16024178885754e+01dB,-1.65735972787636e+02°)
1.00237446725455e+03	(8.76717983762625e+01dB,-1.67299998629229e+02°)
1.26191468896039e+03	(8.37220756318013e+01dB,-1.68222902881811e+02°)
1.58865646944856e+03	(7.97635054707016e+01dB,-1.68539689314397e+02°)
2.00000000000000e+03	(7.58047141660297e+01dB,-1.68262989878727e+02°)
2.51785082358834e+03	(7.18542865951180e+01dB,-1.67381866568636e+02°)
3.16978638492223e+03	(6.79223506409257e+01dB,-1.65862906568313e+02°)
3.99052462993776e+03	(6.40222834856538e+01dB,-1.63654227497513e+02°)
5.02377286301917e+03	(6.01725531153558e+01dB,-1.60694306653927e+02°)
6.32455532033677e+03	(5.63984203879346e+01dB,-1.56928572143463e+02°)
7.96214341106996e+03	(5.27326989967386e+01dB,-1.52336314720127e+02°)
1.00237446725455e+04	(4.92141328130507e+01dB,-1.46966366453040e+02°)
1.26191468896039e+04	(4.58818683521399e+01dB,-1.40970273239275e+02°)
1.58865646944857e+04	(4.27661183662461e+01dB,-1.34610633140246e+02°)
2.00000000000000e+04	(3.98785190727793e+01dB,-1.28224519877657e+02°)
2.51785082358834e+04	(3.72078860664934e+01dB,-1.22148444985457e+02°)
3.16978638492223e+04	(3.47243473414997e+01dB,-1.16642879915515e+02°)
3.99052462993777e+04	(3.23889659646830e+01dB,-1.11854693264137e+02°)
5.02377286301917e+04	(3.01631516441793e+01dB,-1.07824535529580e+02°)
6.32455532033677e+04	(2.80143064113865e+01dB,-1.04519323499887e+02°)
7.96214341106996e+04	(2.59175728356303e+01dB,-1.01867364991908e+02°)
1.00237446725455e+05	(2.38552118567681e+01dB,-9.97846500317851e+01°)
1.26191468896039e+05	(2.18150816811377e+01dB,-9.81906608919634e+01°)
1.58865646944857e+05	(1.97890638444064e+01dB,-9.70163034802239e+01°)
2.00000000000000e+05	(1.77717643850127e+01dB,-9.62070924719381e+01°)
2.51785082358834e+05	(1.57595407569291e+01dB,-9.57239257845889e+01°)
3.16978638492223e+05	(1.37497960230276e+01dB,-9.55428813477674e+01°)
3.99052462993777e+05	(1.17404550651648e+01dB,-9.56548155390440e+01°)
5.02377286301917e+05	(9.72954099644178e+00dB,-9.60651378677945e+01°)
6.32455532033677e+05	(7.71477972535818e+00dB,-9.67938949576833e+01°)
7.96214341106997e+05	(5.69316778326342e+00dB,-9.78761411112498e+01°)
1.00237446725455e+06	(3.66043947012398e+00dB,-9.93624486210061e+01°)
1.26191468896039e+06	(1.61035966794935e+00dB,-1.01319258334234e+02°)
1.58865646944857e+06	(-4.66253763100568e-01dB,-1.03828440479367e+02°)
2.00000000000001e+06	(-2.58287791301168e+00dB,-1.06984637314649e+02°)
2.51785082358834e+06	(-4.75897198914406e+00dB,-1.10887603086662e+02°)
3.16978638492224e+06	(-7.02154471875271e+00dB,-1.15625854757859e+02°)
3.99052462993777e+06	(-9.40543391483154e+00dB,-1.21249954268071e+02°)
5.02377286301918e+06	(-1.19505602276128e+01dB,-1.27741164257646e+02°)
6.32455532033678e+06	(-1.46948490355743e+01dB,-1.34993855459471e+02°)
7.96214341106997e+06	(-1.76637830145056e+01dB,-1.42840480632257e+02°)
1.00237446725455e+07	(-2.08606142662825e+01dB,-1.51141620375405e+02°)
1.26191468896039e+07	(-2.42607801164812e+01dB,-1.59938579773319e+02°)
1.58865646944857e+07	(-2.78057008548238e+01dB,-1.69648568180278e+02°)
2.00000000000001e+07	(-3.13740103348029e+01dB,1.78730327214851e+02°)
2.51785082358834e+07	(-3.46869545148451e+01dB,1.63637527424310e+02°)
3.16978638492224e+07	(-3.71685270701463e+01dB,1.44227898068211e+02°)
3.99052462993777e+07	(-3.81928159966147e+01dB,1.23406022168270e+02°)
5.02377286301918e+07	(-3.78806398747451e+01dB,1.06575291068499e+02°)
6.32455532033678e+07	(-3.68948815226926e+01dB,9.59621453080549e+01°)
7.96214341106997e+07	(-3.55876851098733e+01dB,9.07949027177757e+01°)
1.00000000000000e+08	(-3.40021905881520e+01dB,8.89413825079154e+01°)
