L,OS_rise_pct,US_fall_pct,ts_rise_us,ts_fall_us,t_rise_us,t_fall_us
100µ,43.8984212656392,19.3769331064639,NaN,16.590410435828,15.1570284848088,1024.42507756385
200µ,23.4020693593688,10.5989544471991,NaN,35.7197268448508,15.7798002372708,1021.548340825
500µ,10.5178837377055,5.20816038477408,NaN,85.431490705339,16.2644643012294,1021.47222196283
1m,6.12998040625001,3.50000540099509,NaN,168.390921439027,9.60683035669438,1021.50794154304
2m,3.92115474589154,2.39755470135448,NaN,334.032014726221,9.60677489187261,1021.52240235561
5m,8.83495651114304,17.5131373272519,NaN,NaN,9.60668350306118,1021.49305403335
10m,36.892901053907,116.566608650711,1005.70205920659,NaN,16.0655655732321,1021.86762477982
20m,54.8427805616615,100.086788917482,NaN,NaN,16.0852123957636,1024.5216136986
50m,36.0896713302126,27.0746092921637,NaN,NaN,16.1127772716792,1025.07313256263
100m,21.7979828125926,11.7790136517267,NaN,NaN,16.0875610180029,1025.18632593481
