L,OS_rise_pct,US_fall_pct,ts_rise_us,ts_fall_us,t_rise_us,t_fall_us
100µ,62952.5274776472,43392.1877424487,NaN,NaN,13.3440803427446,1028.72597936779
200µ,17985.4152845888,22752.5780903937,NaN,NaN,13.0555594551861,1028.73074085455
500µ,79341.3261145996,340275.891536726,NaN,NaN,12.9003971048866,1028.72725597456
1m,1872.48445181958,653.914296337422,NaN,NaN,12.9409823758832,1028.74003324971
2m,214.526109240318,60.1407494555208,NaN,NaN,12.8198475596739,1028.70198457742
5m,17.5515850044905,0.142466555764853,NaN,4.76702241099898,12.8584239330664,1025.20171265238
10m,4.72112947641245,0.169671491028341,NaN,5.3924841933201,12.9103650606603,1024.60102567775
20m,4.55988267857139,0.148067422087547,NaN,7.79126163406104,12.9575126447365,1022.18623225807
50m,4.55675963404197,0.166710808156575,NaN,7.72724819148507,12.8903248616357,1022.20207815579
100m,4.55751948723834,0.179873168613772,NaN,7.79258346911196,12.8933200875721,1022.2043556974
